id,code,description,date_created,date_updated,is_eu
2,US,United States,2016-02-29 00:00:00,2016-02-29 00:00:00,f
3,CA,Canada,2016-03-03 00:00:00,2016-03-03 00:00:00,f
4,IN,India,2016-03-21 00:00:00,2016-03-21 00:00:00,f
7,TH,Thailand,2017-10-17 00:00:00,2017-10-17 00:00:00,f
10,CARIB,Caribbean,2018-01-03 00:00:00,2018-01-03 00:00:00,f
8,MX,Mexico,2017-10-18 00:00:00,2017-10-18 00:00:00,f
9,HK,Hong Kong,2017-11-03 00:00:00,2017-11-03 00:00:00,f
5,UK,United Kingdom,2017-08-10 00:00:00,2017-08-10 00:00:00,t
20,SV,Sweden,2019-01-06 00:00:00,2019-01-06 00:00:00,t
11,AT,Austria,2018-01-22 00:00:00,2018-01-22 00:00:00,t
6,IRE,Ireland,2017-10-16 00:00:00,2017-10-16 00:00:00,t
12,BE,Belgium,2018-01-23 00:00:00,2018-01-23 00:00:00,t
13,FR,France,2018-01-23 00:00:00,2018-01-23 00:00:00,t
14,DE,Germany,2018-01-24 00:00:00,2018-01-24 00:00:00,t
15,CZ,Czech Republic,2018-01-26 00:00:00,2018-01-26 00:00:00,t
16,EL,Greece,2018-01-31 00:00:00,2018-01-31 00:00:00,t
17,IT,Italy,2018-01-31 00:00:00,2018-01-31 00:00:00,t
18,NL,Netherlands,2018-02-09 00:00:00,2018-02-09 00:00:00,t
19,PL,Poland,2018-02-09 00:00:00,2018-02-09 00:00:00,t
